A,B,C,D
-0.14280846002940437,-1.4480643961906212,-2.7316595517585207,0.06290998198616438
-0.14280846002940437,0.4738238844717644,0.13627349611714723,0.20973802176630268
1.0676395598752346,0.4738238844717644,0.7079530347923719,0.20973802176630268
1.2397340918219157,0.4738238844717644,0.7079530347923719,0.4454915132890773
1.4810473211539068,0.4738238844717644,0.7079530347923719,1.006606855748173
1.4810473211539068,0.4738238844717644,1.6613390412934483,1.006606855748173
1.4810473211539068,0.4738238844717644,1.6613390412934483,1.006606855748173
1.4810473211539068,0.4738238844717644,1.6613390412934483,1.2335315024523406
1.4810473211539068,0.4738238844717644,1.6613390412934483,1.2335315024523406
1.4810473211539068,0.4738238844717644,1.6613390412934483,1.2335315024523406
1.4810473211539068,2.198087636724802,1.6613390412934483,1.2335315024523406
1.5996636903170443,2.198087636724802,1.6613390412934483,1.512348922868595
1.5996636903170443,2.198087636724802,1.6613390412934483,1.5461661315085344
1.5996636903170443,2.198087636724802,1.6613390412934483,1.5461661315085344
1.5996636903170443,2.198087636724802,1.6613390412934483,1.5461661315085344
1.5996636903170443,2.198087636724802,1.6613390412934483,1.5461661315085344
1.5996636903170443,2.198087636724802,1.6613390412934483,1.5461661315085344
1.5996636903170443,2.198087636724802,1.6613390412934483,1.5461661315085344
1.5996636903170443,2.198087636724802,1.6613390412934483,1.5461661315085344
1.5996636903170443,2.198087636724802,1.6613390412934483,1.5461661315085344
1.5996636903170443,2.198087636724802,1.6613390412934483,1.5461661315085344
1.5996636903170443,2.198087636724802,1.6613390412934483,1.5461661315085344
1.5996636903170443,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.0585364680397507,2.198087636724802,1.6613390412934483,4.074922240044204
2.2235956625838016,2.198087636724802,1.6613390412934483,4.074922240044204
2.2235956625838016,2.198087636724802,1.6613390412934483,4.074922240044204
2.2235956625838016,2.198087636724802,1.6613390412934483,4.074922240044204
2.2235956625838016,2.198087636724802,1.6613390412934483,4.074922240044204
2.2235956625838016,2.198087636724802,1.6613390412934483,4.074922240044204
2.2235956625838016,2.198087636724802,1.6613390412934483,4.074922240044204
2.2235956625838016,2.198087636724802,1.6613390412934483,4.074922240044204
2.2235956625838016,2.198087636724802,1.6613390412934483,4.074922240044204
2.2235956625838016,2.198087636724802,1.6613390412934483,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
2.2235956625838016,2.198087636724802,1.9242166690383304,4.074922240044204
